OID_,DISTRITO,BARRIO,UBICACIÓN,DIRECCIÓN COMPLETA,LATITUD,LONGITUD,EMPLAZAMIENTO,Nº_EQUIPOS,CARACTERÍSTICAS_EQUIPO,POTENCIA_MAX,OPERADOR,GESTIÓN
3730,Arganzuela,Palos de Moguer,Ronda de Valencia 1,"Ronda de Valencia 1, Madrid",40.4057204,-3.6995075,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3731,Retiro,Adelfas,Calle Cerro de la Plata 4,"Calle Cerro de la Plata 4, Madrid",40.40014545,-3.6752149432657397,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3732,Retiro,Jerónimos,"Calle Alfonso XII, 2","Calle Alfonso XII, 2, Madrid",40.4192082,-3.6888851,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3733,Salamanca,Recoletos,Calle Goya 36,"Calle Goya 36, Madrid",40.4249657,-3.6810768,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3734,Salamanca,Goya,Calle Goya 123,"Calle Goya 123, Madrid",40.4246541,-3.6712666,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3735,Salamanca,Castellana,Calle Castelló 105,"Calle Castelló 105, Madrid",40.4350772,-3.6807422,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3736,Salamanca,Guindalera,"Plaza de San Cayetano, s/n","Plaza de San Cayetano, s/n, Madrid",40.43409345,-3.6706180484282145,Mercado municipal,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3737,Latina,Cuatro Vientos,"Calle Sinfonia, 9","Calle Sinfonia, 9 , Madrid",40.37308233715542,-3.7722504853189975,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,Convenio cesión
3738,Vicálvaro,Valdebernardo,"Bulevar José Prat, 27A","Bulevar José Prat, 27A, Madrid",40.39767155,-3.6207708500000013,Vía pública,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,Concesión demanial
3739,Chamartín,Hispanoamérica,"Avenida Alfonso XIII, 130","Avenida Alfonso XIII, 130, Madrid",40.4588374,-3.667204,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3740,Salamanca,Castellana,Calle Velázquez 74,"Calle Velázquez 74, Madrid",40.4292455,-3.683721,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3741,Salamanca,Castellana,Paseo Castellana 52,"Paseo Castellana 52, Madrid",40.4356993,-3.6882216,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3742,Chamartín,El Viso,Paseo Castellana 106,"Paseo Castellana 106, Madrid",40.4454625,-3.6907904,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3743,Chamartín,Hispanoamérica,Paseo Castellana 160,"Paseo Castellana 160, Madrid",40.4574416,-3.688508,Vía pública,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes. Equipo 150 kW: DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A),150 kW,REPSOL,Convenio vía pública
3744,Chamartín,Castilla,Calle Cardenal Marcelo Spínola 6,"Calle Cardenal Marcelo Spínola 6, Madrid",40.4667751,-3.6706001,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3745,Chamberí,Arapiles,Calle Fernández de los Ríos 42,"Calle Fernández de los Ríos 42, Madrid",40.43535625,-3.7095912141826974,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3746,Chamberí,Arapiles,Plaza del Conde de Valle de Suchil,"Plaza del Conde de Valle de Suchil, Madrid",40.431275799999995,-3.7067573657677615,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3747,Chamberí,Trafalgar,Calle Fuencarral 114,"Calle Fuencarral 114, Madrid",40.4296447,-3.7024341,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3748,Chamberí,Trafalgar,Calle Manuel Silvela 16,"Calle Manuel Silvela 16, Madrid",40.430516,-3.699163,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3749,Chamartín,Nueva España,"Avenida Alberto Alcocer, 11","Avenida Alberto Alcocer, 11, Madrid",40.4590308,-3.6864296,Aparcamiento,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3750,Chamberí,Trafalgar,Calle Santa Engracia 115,"Calle Santa Engracia 115, Madrid",40.4380525,-3.7002923,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3751,Chamberí,Almagro,Paseo Castellana 33,"Paseo Castellana 33, Madrid",40.432546849999994,-3.689709965103191,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3752,Fuencarral - El Pardo,La Paz,Calle de Sinesio Delgado 2,"Calle de Sinesio Delgado 2, Madrid",40.464557363988376,-3.7202385444409805,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3753,Ciudad Lineal,San Juan Bautista,Calle Bueso Pineda 29,"Calle Bueso Pineda 29, Madrid",40.45580656678009,-3.6513658591835845,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3754,Centro,Palacio,Plaza de la Cebada,"Plaza de la Cebada, Madrid",40.4112736,-3.7083569,Mercado municipal,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,DRIVE THE CITY,Convenio cesión
3755,Chamartín,Nueva España,"Calle Mateo Inurria, 4","Calle Mateo Inurria, 4 , Madrid",40.46617765,-3.6887179999999997,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3756,Tetuán,Berruguete,"Calle Ofelia Nieto, 64","Calle Ofelia Nieto, 64 , Madrid",40.462464837050426,-3.708133373751736,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3757,Fuencarral - El Pardo,Valverde,Calle Abetal 8 - Las Tablas,"Calle Abetal 8 - Las Tablas, Madrid",40.501784538856604,-3.6633144895875667,Estación de servicio,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3758,Moncloa - Aravaca,Ciudad Universitaria,"A-6, 8","A-6, 8, Madrid",40.4609678,-3.7582946,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3759,Moncloa - Aravaca,El Plantío,Avenida de la Victoria 34,"Avenida de la Victoria 34, Madrid",40.4470752,-3.7103844,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3760,Latina,Cuatro Vientos,"Autovía del Suroeste, 9","Autovía del Suroeste, 9, Madrid",40.40811867007341,-3.7438917516720798,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3761,Latina,Cuatro Vientos,"Av. de la Peseta, 6","Av. de la Peseta, 6, Madrid",40.3683387,-3.7658482,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3762,Latina,Águilas,Mercado de las Águilas,"Mercado de las Águilas, Madrid",40.37785005,-3.76823157644204,Mercado municipal,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVE THE CITY,Convenio cesión
3763,Puente de Vallecas,Palomeras Sureste,Avenida de la Albufera 319,"Avenida de la Albufera 319, Madrid",40.3840328,-3.6321218,Aparcamiento,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ECOLINERAS,Convenio cesión
3764,Hortaleza,Valdefuentes,Calle María de Portugal 15,"Calle María de Portugal 15, Madrid",40.497373499999995,-3.6630605563706506,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,Convenio cesión
3765,Villaverde,Butarque,Avda. de los Rosales 147,"Avda. de los Rosales 147, Madrid",40.3398809,-3.6685848,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3766,Villa de Vallecas,Ensanche de Vallecas,"Calle Real de Arganda, 75","Calle Real de Arganda, 75, Madrid",40.37957475,-3.6196694000000003,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3767,San Blas - Canillejas,Rejas,"C. de Fuentelencina, 62","C. de Fuentelencina, 62, Madrid",40.44889261022727,-3.569210905559255,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3770,Centro,Sol,Plaza de Jacinto Benavente 6,"Plaza de Jacinto Benavente 6, Madrid",40.4144807,-3.7035436244656923,Aparcamiento,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,EMT
3771,Salamanca,Recoletos,Calle de la Armada Española,"Calle de la Armada Española , Madrid",40.424634210825076,-3.6903767172415045,Aparcamiento,4,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,EMT
3772,Salamanca,Lista,Plaza de Marqués de Salamanca,"Plaza de Marqués de Salamanca, Madrid",40.4303981252484,-3.679972070404787,Aparcamiento,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,EMT
3773,Chamartín,Castilla,Calle Hiedra 36,"Calle Hiedra 36, Madrid",40.47180720543637,-3.679376141640235,Aparcamiento,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,EMT
3774,Centro,Palacio,Plaza de la Cebada,"Plaza de la Cebada, Madrid",40.4112736,-3.7083569,Aparcamiento,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,DRIVE THE CITY,Iniciativa privada
3775,Centro,Universidad,Calle Alberto Aguilera 9,"Calle Alberto Aguilera 9, Madrid",40.429402,-3.7084165,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,REPSOL,Iniciativa privada
3776,Retiro,Adelfas,Plaza del Conde de Casal 6,"Plaza del Conde de Casal 6, Madrid",40.4062862,-3.669372242441858,Aparcamiento,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,DRIVE THE CITY,Iniciativa privada
3777,Fuencarral - El Pardo,El Goloso,"Calle Monasterio de Arlanza, 20","Calle Monasterio de Arlanza, 20 , Madrid",40.5105475,-3.6903692,Aparcamiento,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,Iniciativa privada
3778,Hortaleza,Canillas,Avenida de Machupichu 105,"Avenida de Machupichu 105, Madrid",40.4648347,-3.6362258,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,GIC,Iniciativa privada
3779,Hortaleza,Valdefuentes,Avenida de Niceto Alcala Zamora 20,"Avenida de Niceto Alcala Zamora 20, Madrid",40.5004577,-3.65870715,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,GIC/ GALP,Iniciativa privada
3780,Villa de Vallecas,Casco Histórico de Vallecas,"Avenida Eje Central, 7","Avenida Eje Central, 7, Madrid",40.36572133138983,-3.652522724703893,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,Iniciativa privada
3781,Villa de Vallecas,Casco Histórico de Vallecas,Carretera de Villaverde a Vallecas 278,"Carretera de Villaverde a Vallecas 278 , Madrid",40.36945160115506,-3.648605869554578,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,REPSOL,Iniciativa privada
3782,Barajas,Corralejos,Avenida del Consejo de Europa 2,"Avenida del Consejo de Europa 2, Madrid",40.458417,-3.616139,Estación de servicio,4,350 kW conector CC (CCS),350 kW,GIC / CEPSA,Iniciativa privada
3783,Barajas,Corralejos,Avenida del Partenón 5,"Avenida del Partenón 5 , Madrid",40.46749475,-3.619366805586629,Aparcamiento,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,Iniciativa privada
3784,Arganzuela,Palos de Moguer,"Calle del General Lacy, 21","Calle del General Lacy, 21, Madrid",40.40023520601303,-3.6910309587761834,Vía pública,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,TOTALENERGIES,Concesión demanial
