OID_,DISTRITO,same_as_wikidata_distrito,BARRIO,same_as_wikidata_barrio,LATITUD,LONGITUD,Nº_EQUIPOS,CARACTERÍSTICAS_EQUIPO,POTENCIA_MAX,OPERADOR,same_as_wikidata_operador,GESTIÓN
3793,Moratalaz,https://wikidata.org/entity/Q2076109,Pavones,https://wikidata.org/entity/Q71760,40.400725550000004,-3.634548272405329,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Concesión demanial
3798,Hortaleza,https://wikidata.org/entity/Q1928529,PinarDelRey,https://wikidata.org/entity/Q10349788,40.46949030227158,-3.642070521065105,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Concesión demanial
3801,Villaverde,https://wikidata.org/entity/Q919536,LosRosales,https://wikidata.org/entity/Q10319807,40.34849730172464,-3.690871377913514,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Concesión demanial
3804,Vicalvaro,https://wikidata.org/entity/Q589403,Valderrivas,https://wikidata.org/entity/Q43025770,40.395520719633595,-3.6070539036291756,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,TOTALENERGIES,https://wikidata.org/entity/Q154037,Concesión demanial
3807,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.360642850000005,-3.6609847,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,,Acuerdo bilateral
3808,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.360642850000005,-3.6609847,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,,Acuerdo bilateral
3809,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.3603834,-3.662785350358371,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Acuerdo bilateral
3810,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,38.5404,-0.1216588,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio vía pública
3811,Retiro,https://wikidata.org/entity/Q2002296,Jeronimos,https://wikidata.org/entity/Q10306766,40.41694360741295,-3.6932110991829568,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Convenio vía pública
3812,Carabanchel,https://wikidata.org/entity/Q1001991,Buenavista,https://wikidata.org/entity/Q953929,40.37277833627155,-3.728795634529903,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,https://wikidata.org/entity/Q1275336,Convenio cesión
3814,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Arguelles,https://wikidata.org/entity/Q64874,40.4295828,-3.7190864,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,https://wikidata.org/entity/Q1275336,Convenio cesión
3815,Villaverde,https://wikidata.org/entity/Q919536,VillaverdeAlto,https://wikidata.org/entity/Q390435,40.340804004142555,-3.7108612553710447,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Convenio cesión
3816,Tetuan,https://wikidata.org/entity/Q1773540,CuatroCaminos,https://wikidata.org/entity/Q5824684,40.449154449999995,-3.702887907930223,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,,Convenio cesión
3818,Usera,https://wikidata.org/entity/Q953368,Orcasur,https://wikidata.org/entity/Q10341270,40.3657879177848,-3.6977885493901366,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,https://wikidata.org/entity/Q1275336,Convenio cesión
3819,Tetuan,https://wikidata.org/entity/Q1773540,CuatroCaminos,https://wikidata.org/entity/Q5824684,40.45241628338564,-3.696925727677478,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,https://wikidata.org/entity/Q1275336,Convenio cesión
3820,Usera,https://wikidata.org/entity/Q953368,Orcasur,https://wikidata.org/entity/Q10341270,40.36701283161155,-3.6955669738642656,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3822,Hortaleza,https://wikidata.org/entity/Q1928529,ApostolSantiago,https://wikidata.org/entity/Q11906303,40.47225181765033,-3.662773297838859,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,https://wikidata.org/entity/Q474690,Convenio cesión
3823,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.35705474843336,-3.6604424289116912,3,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,,Convenio cesión
3824,CiudadLineal,https://wikidata.org/entity/Q1763694,Ventas,https://wikidata.org/entity/Q71762,40.426019499999995,-3.6585365242627796,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,Sudel,,Convenio cesión
3825,CiudadLineal,https://wikidata.org/entity/Q1763694,Colina,https://wikidata.org/entity/Q18475981,40.46713797079046,-3.666093810197397,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3826,CiudadLineal,https://wikidata.org/entity/Q1763694,SanPascual,https://wikidata.org/entity/Q165612,40.43994674407317,-3.656035472066064,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,https://wikidata.org/entity/Q1275336,Convenio cesión
3827,Moratalaz,https://wikidata.org/entity/Q2076109,Marroquina,https://wikidata.org/entity/Q11935636,40.40796941629195,-3.6525121390545428,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3829,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.36911725,-3.6310810607169968,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GALP,https://wikidata.org/entity/Q1492739,Convenio cesión
3830,SanBlas-Canillejas,https://wikidata.org/entity/Q2001937,Simancas,https://wikidata.org/entity/Q10371626,40.426483,-3.626089,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GALP,https://wikidata.org/entity/Q1492739,Convenio cesión
3831,SanBlas-Canillejas,https://wikidata.org/entity/Q2001937,Simancas,https://wikidata.org/entity/Q10371626,13.988601498154988,-89.64337070995305,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3832,SanBlas-Canillejas,https://wikidata.org/entity/Q2001937,Arcos,https://wikidata.org/entity/Q9627876,40.41568966513148,-3.610518957029991,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GALP,https://wikidata.org/entity/Q1492739,Convenio cesión
3833,SanBlas-Canillejas,https://wikidata.org/entity/Q2001937,Rosas,https://wikidata.org/entity/Q18880469,40.41568966513148,-3.610518957029991,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,Cerdeira,,Convenio cesión
3834,VillaDeVallecas,https://wikidata.org/entity/Q1947988,EnsancheDeVallecas,https://wikidata.org/entity/Q3847485,40.37067176003822,-3.5958235007572568,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,https://wikidata.org/entity/Q1275336,Convenio cesión
3836,SanBlas-Canillejas,https://wikidata.org/entity/Q2001937,Rejas,https://wikidata.org/entity/Q10359029,40.443436500000004,-3.5913736,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,https://wikidata.org/entity/Q474690,Convenio cesión
3838,SanBlas-Canillejas,https://wikidata.org/entity/Q2001937,Rejas,https://wikidata.org/entity/Q10359029,40.4442757950714,-3.5793883223743195,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Convenio cesión
3839,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.36572133138983,-3.652522724703893,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,https://wikidata.org/entity/Q474690,Convenio cesión
3840,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,40.4259414,-3.6925629,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Convenio vía pública
3841,Villaverde,https://wikidata.org/entity/Q919536,SanCristobal,https://wikidata.org/entity/Q390457,40.34100933888266,-3.6870498036603556,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,TOTALENERGIES,https://wikidata.org/entity/Q154037,Concesión demanial
3843,Salamanca,https://wikidata.org/entity/Q1773521,Guindalera,https://wikidata.org/entity/Q3814559,40.43501535054218,-3.6610926328467954,2,1 equipo de 150 kW (DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A)) y 1 equipo de 50 kW (DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW)),150 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio vía pública
3858,Tetuan,https://wikidata.org/entity/Q1773540,Almenara,https://wikidata.org/entity/Q2265427,40.46762976449039,-3.69074855660997,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Iniciativa privada
3859,Chamartin,https://wikidata.org/entity/Q1766348,Prosperidad,https://wikidata.org/entity/Q4776,40.4382236,-3.6768927,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Iniciativa privada
3863,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.35904900182343,-3.661473377030333,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,,,Acuerdo bilateral
3865,Fuencarral-ElPardo,https://wikidata.org/entity/Q656196,Pilar,https://wikidata.org/entity/Q3773964,40.4795001,-3.7067216,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW),50 kW,CCLAVAGUADA,https://wikidata.org/entity/Q6465598,Convenio cesión
4265,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.35904900182343,-3.661473377030333,1,150 kW DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A),150 kW,,,Acuerdo bilateral
4267,Fuencarral-ElPardo,https://wikidata.org/entity/Q656196,ElGoloso,https://wikidata.org/entity/Q10271137,40.5453765,-3.6949577655963672,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) - AC- Tipo 2 (22kW),50 kW,UAM,https://wikidata.org/entity/Q788091,Convenio cesión
4269,Barajas,https://wikidata.org/entity/Q807230,Corralejos,https://wikidata.org/entity/Q10260772,40.467575977534175,-3.612057772628916,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW),50 kW,BLAUDRIVE,,Convenio cesión
4270,Usera,https://wikidata.org/entity/Q953368,Moscardo,https://wikidata.org/entity/Q11937679,40.3872262,-3.7065929,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),50 kW,BLAUDRIVE,,Convenio cesión
4275,Latina,https://wikidata.org/entity/Q794954,Aluche,https://wikidata.org/entity/Q31140,40.40242503181887,-3.7605311241676658,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
4280,CiudadLineal,https://wikidata.org/entity/Q1763694,SanJuanBautista,https://wikidata.org/entity/Q165609,40.44958188490243,-3.652918299349679,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),50 kW,ENDESA,https://wikidata.org/entity/Q1275336,Convenio cesión
4281,Salamanca,https://wikidata.org/entity/Q1773521,Castellana,https://wikidata.org/entity/Q4781,40.4321401,-3.6870755,1,"Conectores: DC- CCS Combo 2, 50 kW y CHAdeMO 50 kW.  Toma: AC- Tipo 2, 22 kW",50 kW,ENDESA,https://wikidata.org/entity/Q1275336,Convenio cesión
4662,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.35705474843336,-3.6604424289116912,1,180 kW 2 conectores CC (CCS),180 kW,DRIVETHECITY,,Iniciativa privada
4663,Fuencarral-ElPardo,https://wikidata.org/entity/Q656196,ElGoloso,https://wikidata.org/entity/Q10271137,40.5453765,-3.6949577655963672,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) - AC- Tipo 2 (22kW),50 kW,UAM,https://wikidata.org/entity/Q788091,Convenio cesión
4664,PuenteDeVallecas,https://wikidata.org/entity/Q2003054,SanDiego,https://wikidata.org/entity/Q11946851,40.394076606216686,-3.6662816826699736,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),50 kW,BLAUDRIVE,,Convenio cesión
5464,Chamartin,https://wikidata.org/entity/Q1766348,ElViso,https://wikidata.org/entity/Q4778,40.437927,-3.684589,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
6667,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,40.28570185,-3.747178488756261,12,"4 equipos 400 kW, 4 equipos 200 kW, 4 equipos 50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes",400 kW,EMT,https://wikidata.org/entity/Q1094755,EMT
6668,Fuencarral-ElPardo,https://wikidata.org/entity/Q656196,Penagrande,https://wikidata.org/entity/Q3319582,40.47983213981173,-3.7233181545007885,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
6673,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,40.4205603,-3.6919389,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,https://wikidata.org/entity/Q1094755,EMT
